DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
13045,Transmission,,,,,,1,A1,1,6,5,33,12/8/22,1:42:26 PM,20221208_134226157_Printed_T1_F6_R33_C5_Trans__Run.png
13045,203.79,158.54,27.65,1.93,1.11,152.09,,,,,,,,,
13066,Transmission,,,,,,1,A1,1,6,23,33,12/8/22,1:42:28 PM,20221208_134228673_Printed_T1_F6_R33_C23_Trans__Run.png
13066,322.7,135.71,31.46,1.62,1.06,146.43,,,,,,,,,
13077,Transmission,,,,,,1,A1,1,6,41,33,12/8/22,1:42:30 PM,20221208_134230622_Printed_T1_F6_R33_C41_Trans__Run.png
13077,298.57,148.03,33.04,1.68,1.07,148.68,,,,,,,,,
13086,Transmission,,,,,,1,A1,1,6,59,33,12/8/22,1:42:32 PM,20221208_134232461_Printed_T1_F6_R33_C59_Trans__Run.png
13086,319.7,132.76,30.21,1.58,1.05,142.2,,,,,,,,,
13224,Transmission,,,,,,1,A1,1,6,5,51,12/8/22,1:42:42 PM,20221208_134242516_Printed_T1_F6_R51_C5_Trans__Run.png
13224,268.37,163.79,33.04,1.56,1.05,146.77,,,,,,,,,
13315,Transmission,,,,,,1,A1,1,6,23,51,12/8/22,1:42:49 PM,20221208_134249483_Printed_T1_F6_R51_C23_Trans__Run.png
13315,225.82,144.5,25.7,1.87,1.1,157.52,,,,,,,,,
13348,Transmission,,,,,,1,A1,1,6,41,51,12/8/22,1:42:52 PM,20221208_134252800_Printed_T1_F6_R51_C41_Trans__Run.png
13348,216.24,144.97,30.76,1.68,1.07,144.4,,,,,,,,,
13386,Transmission,,,,,,1,A1,1,6,59,51,12/8/22,1:42:56 PM,20221208_134256516_Printed_T1_F6_R51_C59_Trans__Run.png
13386,246.41,144.9,26.37,1.55,1.05,138.02,,,,,,,,,
13425,Transmission,,,,,,1,A1,1,6,5,57,12/8/22,1:43:00 PM,20221208_134300309_Printed_T1_F6_R57_C5_Trans__Run.png
13425,234.29,161.86,32.13,1.44,1.03,148.6,,,,,,,,,
13455,Transmission,,,,,,1,A1,1,6,23,57,12/8/22,1:43:03 PM,20221208_134303411_Printed_T1_F6_R57_C23_Trans__Run.png
13455,253.3,154.31,30.02,1.55,1.05,138.19,,,,,,,,,
13499,Transmission,,,,,,1,A1,1,6,41,57,12/8/22,1:43:07 PM,20221208_134307427_Printed_T1_F6_R57_C41_Trans__Run.png
13499,258.41,167.68,27.28,1.8,1.08,151.97,,,,,,,,,
13533,Transmission,,,,,,1,A1,1,6,59,57,12/8/22,1:43:10 PM,20221208_134310831_Printed_T1_F6_R57_C59_Trans__Run.png
13533,279.84,139.23,26.26,1.68,1.07,143.96,,,,,,,,,
13591,Transmission,,,,,,1,A1,1,7,5,9,12/8/22,1:43:15 PM,20221208_134315813_Printed_T1_F7_R9_C5_Trans__Run.png
13591,247.69,158.24,25.43,1.92,1.1,159.51,,,,,,,,,
13646,Transmission,,,,,,1,A1,1,7,23,9,12/8/22,1:43:20 PM,20221208_134320682_Printed_T1_F7_R9_C23_Trans__Run.png
13646,184.14,140.22,28.73,1.56,1.05,141.4,,,,,,,,,
